system,sr_no,id,code,term,short_definition,long_definition,reference,ontology_branches
ICD-11,1,1,1A00,Cholera,"Cholera is a potentially epidemic and life-threatening infection of the intestine, characterised by extreme watery (secretory) diarrhoea often accompanied by vomiting, with rapid depletion of body fluids and salt that may result in hypovolemic shock and acidosis.","Cholera is a potentially epidemic and life-threatening infection of the intestine, characterised by extreme watery (secretory) diarrhoea often accompanied by vomiting, with rapid depletion of body fluids and salt that may result in hypovolemic shock and acidosis. Cholera outbreaks are caused by toxigenic strains of Vibrio cholerae serogroups O1 and O139. Serogroup O1 has two biovars; classical and eltor. Vibrio cholerae O1, biovar cholerae is classical type. Vibrio cholerae O1, biovar eltor is eltor type. Inclusions: cholera syndrome",,
ICD-11,2,2,1A01,Intestinal infection due to other Vibrio,,,,
ICD-11,3,3,1A02,Intestinal infections due to Shigella,A disease caused by an infection with the gram-negative bacteria genus Shigella.,"A disease caused by an infection with the gram-negative bacteria genus Shigella. This disease is characterised by an acute onset of small volume diarrhoea, accompanied by fever and nausea. This disease may also present with toxaemia, vomiting, cramps, and tenesmus. Transmission is by ingestion of contaminated food, or direct contact. Confirmation is by identification of Shigella in a faecal sample. Coded Elsewhere: Sepsis due to shigella with septic shock (1C41)",,
ICD-11,4,4,1A03,Intestinal infections due to Escherichia coli,"Any condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli.","Any condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli.",,
ICD-11,5,5,1A03.0,Enteropathogenic Escherichia coli infection,"An infection of the gastrointestinal system, caused by the gram-negative bacteria Escherichia coli.","An infection of the gastrointestinal system, caused by the gram-negative bacteria Escherichia coli. It is characterised by acute, profuse, watery diarrhoea. Transmission is by the faecal-oral route from contaminated food, water, or fomites. Confirmation is by identification of enteropathogenic Escherichia coli (EPEC) in a faecal sample.",,
ICD-11,6,6,1A03.1,Enterotoxigenic Escherichia coli infection,"A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli.","A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli. This condition is characterised by acute, watery diarrhoea due to toxins released from the bacteria. Transmission is by the faecal-oral route from ingestion of contaminated food, water, or fomites. Confirmation is by identification of the Escherichia coli in faecal sample.",,
ICD-11,7,7,1A03.2,Enteroinvasive Escherichia coli infection,"A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli.","A condition of the gastrointestinal system, caused by an infection with the gram-negative bacteria Escherichia coli. This condition is characterised by acute and profuse diarrhoea (that may be haemorrhagic), fever, and abdominal cramps. Transmission is by the faecal-oral route from ingestion of contaminated food or water. Confirmation is by identification of the Escherichia coli in a faecal sample.",,
ICD-11,8,8,1A03.3,Enterohaemorrhagic Escherichia coli infection,,,,
ICD-11,9,9,1A03.Y,Intestinal infections due to other specified Escherichia coli,,,,
ICD-11,10,10,1A03.Z,"Intestinal infections due to Escherichia coli, unspecified",,,,
ICD-11,11,11,1A04,Intestinal infections due to Clostridioides difficile,"A disease of the colon, caused by an infection with the gram-positive bacteria Clostridioides difficile (formerly known as Clostridium difficile).","A disease of the colon, caused by an infection with the gram-positive bacteria Clostridioides difficile (formerly known as Clostridium difficile). This disease is characterised by colitis, diarrhoea, abdominal pain, and fever. Transmission is commonly by direct or indirect contact, or from a disturbance of the normal bacterial flora of the colon. Confirmation is by identification of Clostridioides difficile in a faecal sample. Exclusions: Necrotising enterocolitis of newborn (KB88)",,
ICD-11,12,12,1A05,Intestinal infections due to Yersinia enterocolitica,"A disease of the intestinal tract, caused by an infection with the gram-negative bacteria Yersinia enterocolitica.","A disease of the intestinal tract, caused by an infection with the gram-negative bacteria Yersinia enterocolitica. This disease commonly presents with a fever, diarrhoea, or abdominal pain. This disease may also lead to a systemic infection. Transmission is by the faecal-oral route from the ingestion of contaminated food or water, or direct contact with infected individuals or animal. Confirmation is by identification of Yersinia enterocolitica in a faecal sample. Exclusions: Extraintestinal yersiniosis (1B9A) Coded Elsewhere: Postinfectious arthropathy in enteritis due to Yersinia enterocolitica (1A05)",,
ICD-11,13,13,1A06,Gastroenteritis due to Campylobacter,,,,
ICD-11,14,14,1A07,Typhoid fever,A condition caused by an infection with the gram-negative bacteria Salmonella typhi.,"A condition caused by an infection with the gram-negative bacteria Salmonella typhi. This condition is characterised by an acute sustained fever. This condition may present with weakness, stomach pains, headache, loss of appetite, or flat, rose-coloured spots. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Salmonella typhi in a faecal or blood sample.",,
ICD-11,15,15,1A07.0,Typhoid peritonitis,,,,
ICD-11,16,16,1A07.Y,Other specified typhoid fever,,,,
ICD-11,17,17,1A07.Z,"Typhoid fever, unspecified",,,,
ICD-11,18,18,1A08,Paratyphoid fever,A condition caused by an infection with the gram-negative bacteria Salmonella paratyphi.,"A condition caused by an infection with the gram-negative bacteria Salmonella paratyphi. This condition is characterised by an acute sustained fever. The individual may feel weak, have stomach pains, headache, loss of appetite, or a rash of flat, rose-coloured spots. Transmission is by ingestion of contaminated food or water. Confirmation is by identification of Salmonella paratyphi in a faecal or blood sample.",,
ICD-11,19,19,1A09,Infections due to other Salmonella,Coding Note: Infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi,Coding Note: Infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi,,
ICD-11,20,20,1A09.0,Salmonella enteritis,"This refers to inflammation of the small intestine due to infection with bacteria of the genus Salmonella, a member of the family Enterobacteriaceae.","This refers to inflammation of the small intestine due to infection with bacteria of the genus Salmonella, a member of the family Enterobacteriaceae. Bacteria of the genus Salmonella are rod-shaped, Gram-negative, non-spore-forming and predominantly motile.",,
ICD-11,21,21,1A09.Y,Infections due to other Salmonella in other organs,Coding Note: Infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi,Coding Note: Infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi,,
ICD-11,22,22,1A09.Z,"Salmonella infection, unspecified",Coding Note: Infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi,Coding Note: Infection or foodborne intoxication due to any Salmonella species other than S. typhi and S. paratyphi,,
ICD-11,23,23,1A0Y,Other specified bacterial intestinal infections,,,,
ICD-11,24,24,1A0Z,"Bacterial intestinal infections, unspecified",Bacterial foodborne intoxications (1A10‑1A1Z) Any condition caused by an intoxication due to a bacterial toxin.,"Bacterial foodborne intoxications (1A10‑1A1Z) Any condition caused by an intoxication due to a bacterial toxin. Intoxication is by ingestion of contaminated food. Exclusions: salmonella foodborne intoxication and infection (1A09) Listeriosis (1C1A) Harmful effects of or exposure to noxious substances, Substances chiefly nonmedicinal as to source, Other noxious substances eaten as food (NE61) Ichthyotoxism not specified as bacterial (NE61)",,
ICD-11,25,25,1A10,Foodborne staphylococcal intoxication,,,,
ICD-11,26,26,1A11,Botulism,A disease caused by an infection with the gram-positive bacteria Clostridium botulinum.,"A disease caused by an infection with the gram-positive bacteria Clostridium botulinum. This disease commonly presents with abdominal pain, vomiting, acute paralysis, blurred vision, diplopia, and may be fatal. Transmission is by ingestion of contaminated food, direct contact, or from accidental overdose. Confirmation is by identification of Clostridium botulinum in a faecal or food sample.",,
ICD-11,27,27,1A11.0,Foodborne intoxication by botulinum toxin,,,,
ICD-11,28,28,1A11.1,Other forms of botulism,,,,
ICD-11,29,29,1A11.Z,"Botulism, unspecified",,,,
ICD-11,30,30,1A12,Foodborne Clostridium perfringens intoxication,Inclusions: enteritis necroticans foodborne Clostridium welchii intoxication,Inclusions: enteritis necroticans foodborne Clostridium welchii intoxication,,
ICD-11,31,31,1A13,Foodborne Bacillus cereus intoxication,,,,
ICD-11,32,32,1A1Y,Other specified bacterial foodborne intoxications,,,,
ICD-11,33,33,1A1Z,"Bacterial foodborne intoxications, unspecified","Viral intestinal infections (1A20‑1A2Z) Any condition of the intestines, caused by an infection with a viral source.","Viral intestinal infections (1A20‑1A2Z) Any condition of the intestines, caused by an infection with a viral source. Exclusions: influenza with involvement of gastrointestinal tract (1E32) Coded Elsewhere: Herpes simplex virus duodenitis (1F00.Y) Human immunodeficiency virus disease enteritis (1C62.2)",,
ICD-11,34,34,1A20,Enteritis due to Adenovirus,"A disease of the intestinal tract, caused by an infection with adenovirus.","A disease of the intestinal tract, caused by an infection with adenovirus. This disease is characterised by a fever, diarrhoea, or vomiting. Transmission is by the faecal-oral route.",,
ICD-11,35,35,1A21,Gastroenteritis due to Astrovirus,,,,
ICD-11,36,36,1A22,Gastroenteritis due to Rotavirus,"A disease of the gastrointestinal tract, caused by an infection with rotavirus.","A disease of the gastrointestinal tract, caused by an infection with rotavirus. This disease is characterised by acute onset of vomiting, non-haemorrhagic diarrhoea, and abdominal pain. Transmission is by ingestion of contaminated food or water, direct contact, or through fomites. Confirmation is by identification of rotavirus.",,
ICD-11,37,37,1A23,Enteritis due to Norovirus,"A disease of the gastrointestinal tract, caused by an infection with norovirus.","A disease of the gastrointestinal tract, caused by an infection with norovirus. This disease is characterised by acute onset of vomiting, non-haemorrhagic diarrhoea, and abdominal pain. Transmission is by ingestion of contaminated food or water, direct contact, or through fomites. Confirmation is by identification of norovirus.",,
ICD-11,38,38,1A24,Intestinal infections due to Cytomegalovirus,"A condition of the intestinal tract, caused by an infection with cytomegalovirus.","A condition of the intestinal tract, caused by an infection with cytomegalovirus. The condition is characterised by diarrhoea, fever, abdominal pain, or haematochezia. Transmission is by direct contact with infected body fluids.",,
ICD-11,39,39,1A2Y,Other specified viral intestinal infections,,,,
ICD-11,40,40,1A2Z,"Viral intestinal infections, unspecified","Protozoal intestinal infections (1A30‑1A3Z) Any condition of the intestines, caused by an infection with a protozoal parasitic source.","Protozoal intestinal infections (1A30‑1A3Z) Any condition of the intestines, caused by an infection with a protozoal parasitic source.",,
ICD-11,41,41,1A30,Infections due to Balantidium coli,Any condition caused by an infection with the protozoan parasite Balantidium coli.,Any condition caused by an infection with the protozoan parasite Balantidium coli.,,
ICD-11,42,42,1A31,Giardiasis,A condition caused by an infection with the protozoan parasite Giardia.,"A condition caused by an infection with the protozoan parasite Giardia. This condition is characterised by gastroenteritis, or may be asymptomatic. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Giardia in a faecal sample.",,
ICD-11,43,43,1A32,Cryptosporidiosis,Any condition caused by an infection with the protozoan parasite Cryptosporidium.,Any condition caused by an infection with the protozoan parasite Cryptosporidium.,,
ICD-11,44,44,1A33,Cystoisosporiasis,A disease caused by the protozoan parasite Cystoisospora belli.,"A disease caused by the protozoan parasite Cystoisospora belli. This disease is characterised by watery diarrhoea, fever, abdominal pain, nausea, or malaise. Transmission is by the faecal-oral route, commonly through the ingestion of contaminated food or water. Confirmation is by identification of Cystoisospora belli in a faecal sample.",,
ICD-11,45,45,1A33.0,Cystoisosporiasis of small intestine,Inclusions: Infection due to Isopora belli Infection due to Isopora hominis,Inclusions: Infection due to Isopora belli Infection due to Isopora hominis,,
ICD-11,46,46,1A33.1,Cystoisosporiasis of colon,Isosporiasis of colon is a large intestinal inflammation caused by the protozoan Isospora belli.,Isosporiasis of colon is a large intestinal inflammation caused by the protozoan Isospora belli.,,
ICD-11,47,47,1A33.Y,Other specified cystoisosporiasis,,,,
ICD-11,48,48,1A33.Z,"Cystoisosporiasis, unspecified",,,,
ICD-11,49,49,1A34,Sarcocystosis,Any condition caused by an infection with the protozoan parasite Sarcocystis.,Any condition caused by an infection with the protozoan parasite Sarcocystis. Inclusions: Sarcosporidiosis,,
ICD-11,50,50,1A35,Blastocystosis,,,,
ICD-11,51,51,1A36,Amoebiasis,Inclusions: infection due to Entamoeba histolytica,Inclusions: infection due to Entamoeba histolytica,,
ICD-11,52,52,1A36.0,Intestinal infections due to Entamoeba,,,,
ICD-11,53,53,1A36.00,Acute amoebiasis,A disease caused by an infection with the protozoan parasite Entamoeba histolytica.,"A disease caused by an infection with the protozoan parasite Entamoeba histolytica. This disease is characterised by fever, abdominal pain, tenesmus, or diarrhoea containing blood. Transmission is by the faecal-oral route or ingestion of contaminated food or water. Confirmation is by identification of Entamoeba histolytica in a faecal or blood sample. Inclusions: amoebic dysentery",,
ICD-11,54,54,1A36.01,Amoeboma of intestine,Coded Elsewhere: Amoeboma of large intestine (1A36.0Z),Coded Elsewhere: Amoeboma of large intestine (1A36.0Z),,
ICD-11,55,55,1A36.0Z,"Intestinal infections due to Entamoeba, unspecified",,,,
ICD-11,56,56,1A36.1,Extraintestinal infections due to Entamoeba,,,,
ICD-11,57,57,1A36.10,Amoebic liver abscess,Inclusions: Hepatic amoebiasis,Inclusions: Hepatic amoebiasis,,
ICD-11,58,58,1A36.11,Amoebic lung abscess,,,,
ICD-11,59,59,1A36.12,Cutaneous amoebiasis,,,,
ICD-11,60,60,1A36.1Y,Amoebiasis of other specified sites,,,,
ICD-11,61,61,1A36.Z,"Amoebiasis, unspecified",,,,
ICD-11,62,62,1A3Y,Other specified protozoal intestinal infections,,,,
ICD-11,63,63,1A3Z,"Protozoal intestinal infections, unspecified",,,,
ICD-11,64,64,1A40,Gastroenteritis or colitis without specification of infectious agent,Inclusions: enteritis septic gastroenteritis septic Exclusions: Noninfectious neonatal diarrhoea (KB8C) noninfective diarrhoea (ME05.1),Inclusions: enteritis septic gastroenteritis septic Exclusions: Noninfectious neonatal diarrhoea (KB8C) noninfective diarrhoea (ME05.1),,
